state,Total_Biometrics,Total_Demographics,Total_Enrolments,Maintenance,Growth,Maintenance_vs_Growth_Ratio
Daman & Diu,2185.0,644.0,21.0,2829.0,21.0,134.71428571428572
ODISHA,34.0,50.0,1.0,84.0,1.0,84.0
Daman and Diu,6763.0,1552.0,120.0,8315.0,120.0,69.29166666666667
WESTBENGAL,12.0,57.0,1.0,69.0,1.0,69.0
Andaman and Nicobar Islands,18314.0,6187.0,397.0,24501.0,397.0,61.71536523929471
Chandigarh,74482.0,83361.0,2723.0,157843.0,2723.0,57.96658097686375
Andhra Pradesh,3714592.0,2295505.0,127681.0,6010097.0,127681.0,47.07119305143287
Chhattisgarh,2648729.0,2005434.0,103219.0,4654163.0,103219.0,45.09017719605887
Dadra and Nagar Haveli,27235.0,6033.0,744.0,33268.0,744.0,44.715053763440864
Goa,68397.0,35120.0,2333.0,103517.0,2333.0,44.37076725246464
Manipur,282587.0,301549.0,13456.0,584136.0,13456.0,43.410820451843044
Puducherry,42321.0,25304.0,1745.0,67625.0,1745.0,38.75358166189112
Maharashtra,9226139.0,5054602.0,369139.0,14280741.0,369139.0,38.686622112537556
Tripura,292155.0,138013.0,11285.0,430168.0,11285.0,38.11856446610545
Dadra and Nagar Haveli and Daman and Diu,2532.0,3740.0,173.0,6272.0,173.0,36.25433526011561
Punjab,1739671.0,881895.0,76746.0,2621566.0,76746.0,34.15899199958304
Uttarakhand,764763.0,463637.0,37698.0,1228400.0,37698.0,32.58528303888801
Dadra & Nagar Haveli,553.0,235.0,25.0,788.0,25.0,31.52
Kerala,1609730.0,744952.0,75002.0,2354682.0,75002.0,31.394922802058613
Tamil Nadu,4698117.0,2212228.0,220789.0,6910345.0,220789.0,31.298411605650642
Himachal Pradesh,396234.0,149214.0,17486.0,545448.0,17486.0,31.19341187235503
Andaman & Nicobar Islands,2384.0,1059.0,114.0,3443.0,114.0,30.20175438596491
Lakshadweep,4820.0,1176.0,203.0,5996.0,203.0,29.536945812807883
Odisha,2402827.0,1083237.0,118837.0,3486064.0,118837.0,29.334836793254627
Delhi,1304362.0,1438934.0,94529.0,2743296.0,94529.0,29.02068148398904
Haryana,1635454.0,1166140.0,98252.0,2801594.0,98252.0,28.514371208728576
Pondicherry,27587.0,7459.0,1272.0,35046.0,1272.0,27.55188679245283
Mizoram,120329.0,41906.0,5926.0,162235.0,5926.0,27.376814039824502
WEST BENGAL,37.0,71.0,4.0,108.0,4.0,27.0
Telangana,1737654.0,1629908.0,131574.0,3367562.0,131574.0,25.594433550701506
Arunachal Pradesh,72394.0,36443.0,4344.0,108837.0,4344.0,25.054558011049725
Jammu and Kashmir,791218.0,406776.0,47991.0,1197994.0,47991.0,24.962888874997397
andhra pradesh,41.0,77.0,5.0,118.0,5.0,23.6
Orissa,62083.0,28758.0,4149.0,90841.0,4149.0,21.894673415280792
Jharkhand,2026297.0,1401189.0,157539.0,3427486.0,157539.0,21.756428566894545
West Bangal,54.0,157.0,10.0,211.0,10.0,21.1
Sikkim,22820.0,20340.0,2207.0,43160.0,2207.0,19.55595831445401
Rajasthan,3994955.0,2817615.0,348458.0,6812570.0,348458.0,19.550620160822824
Karnataka,2635954.0,1695285.0,223235.0,4331239.0,223235.0,19.402150200461396
Westbengal,19.0,95.0,6.0,114.0,6.0,19.0
Ladakh,5763.0,5735.0,617.0,11498.0,617.0,18.635332252836303
Gujarat,3196514.0,1824327.0,280549.0,5020841.0,280549.0,17.896485105988614
Madhya Pradesh,5923771.0,2912938.0,493970.0,8836709.0,493970.0,17.889161285098286
Uttar Pradesh,9577735.0,8542328.0,1018629.0,18120063.0,1018629.0,17.788677722703753
West Bengal,2524448.0,3872172.0,375297.0,6396620.0,375297.0,17.044154363077777
Bihar,4897587.0,4814350.0,609585.0,9711937.0,609585.0,15.932047212447813
West bengal,20.0,60.0,7.0,80.0,7.0,11.428571428571429
Nagaland,109593.0,36791.0,15587.0,146384.0,15587.0,9.391415923526015
West  Bengal,28.0,107.0,15.0,135.0,15.0,9.0
Assam,982722.0,1012578.0,230197.0,1995300.0,230197.0,8.667793237965743
Jammu & Kashmir,429.0,426.0,155.0,855.0,155.0,5.516129032258065
Meghalaya,87626.0,87378.0,109771.0,175004.0,109771.0,1.5942644232083154
100000,0.0,2.0,218.0,2.0,218.0,0.009174311926605505
Jammu And Kashmir,0.0,0.0,950.0,0.0,950.0,0.0
The Dadra And Nagar Haveli And Daman And Diu,0.0,0.0,716.0,0.0,716.0,0.0
BALANAGAR,0.0,2.0,0.0,2.0,0.0,
Chhatisgarh,5.0,4.0,0.0,9.0,0.0,
Darbhanga,0.0,2.0,0.0,2.0,0.0,
Jaipur,0.0,2.0,0.0,2.0,0.0,
Madanapalle,0.0,2.0,0.0,2.0,0.0,
Nagpur,0.0,1.0,0.0,1.0,0.0,
Puttenahalli,0.0,1.0,0.0,1.0,0.0,
Raja Annamalai Puram,0.0,1.0,0.0,1.0,0.0,
Tamilnadu,1.0,0.0,0.0,1.0,0.0,
Uttaranchal,2.0,5.0,0.0,7.0,0.0,
West Bengli,0.0,3.0,0.0,3.0,0.0,
odisha,16.0,20.0,0.0,36.0,0.0,
west Bengal,1.0,15.0,0.0,16.0,0.0,
